Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,42,Female,1,Laboratory Technician,Divorced,2341,1,Y,13,80,1,1,6,1,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,43,Male,1,Laboratory Technician,Single,2293,1,Y,12,80,0,1,2,1,0,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,1,44,Male,3,Sales Executive,Single,8726,1,Y,15,80,0,9,0,9,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,1,45,Female,2,Laboratory Technician,Single,4011,1,Y,23,80,0,12,2,12,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,1,46,Female,5,Research Director,Married,19545,1,Y,12,80,0,23,0,22,15,8
34,No,Non-Travel,Sales,23,4,Marketing,1,47,Male,2,Sales Executive,Single,4568,0,Y,20,80,0,10,2,9,8,7
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,1,48,Male,1,Research Scientist,Married,3022,4,Y,21,80,0,8,1,1,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,49,Male,2,Sales Executive,Single,5772,4,Y,21,80,0,14,4,9,0,8
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,50,Male,1,Laboratory Technician,Married,2269,1,Y,19,80,0,1,2,1,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,51,Male,3,Laboratory Technician,Single,5381,9,Y,13,80,0,23,2,1,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,1,52,Male,1,Laboratory Technician,Single,3441,1,Y,13,80,0,2,3,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,1,53,Female,2,Sales Executive,Divorced,5454,5,Y,21,80,1,9,2,4,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,1,54,Male,3,Healthcare Representative,Married,9884,2,Y,13,80,1,10,3,4,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,1,55,Female,2,Sales Executive,Married,4157,7,Y,19,80,1,5,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,56,Female,3,Research Director,Single,13458,1,Y,12,80,0,15,1,15,8,12
35,No,Travel_Frequently,Sales,18,5,Life Sciences,1,57,Male,3,Sales Executive,Married,9069,1,Y,22,80,1,9,3,9,1,8
35,No,Travel_Rarely,Research & Development,23,4,Medical,1,58,Female,1,Laboratory Technician,Married,4014,3,Y,15,80,1,4,3,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,59,Male,2,Laboratory Technician,Divorced,5915,3,Y,22,80,1,10,3,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,60,Male,2,Manufacturing Director,Divorced,5993,1,Y,18,80,1,7,2,7,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,61,Male,2,Manufacturing Director,Married,6162,1,Y,22,80,1,9,3,9,7,8
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,1,62,Female,2,Laboratory Technician,Single,2406,1,Y,11,80,0,10,2,10,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,1,63,Female,5,Research Director,Divorced,18740,5,Y,12,80,1,29,2,27,13,8
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,64,Female,3,Sales Executive,Single,7637,7,Y,11,80,0,28,3,21,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,65,Female,3,Healthcare Representative,Divorced,10096,1,Y,13,80,3,17,2,17,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,1,66,Female,4,Manager,Divorced,14756,2,Y,14,80,3,21,2,5,0,2
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,1,67,Male,2,Manufacturing Director,Single,6499,1,Y,13,80,0,6,3,6,0,3
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,68,Male,3,Research Scientist,Divorced,9724,2,Y,17,80,1,25,2,1,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,1,69,Male,1,Research Scientist,Married,2194,4,Y,13,80,1,5,2,3,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,70,Male,1,Research Scientist,Married,3388,0,Y,17,80,1,2,0,1,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,71,Female,2,Sales Executive,Single,5473,7,Y,11,80,0,20,2,4,1,3
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,72,Male,1,Research Scientist,Married,2703,0,Y,23,80,1,6,3,5,0,4
31,No,Travel_Rarely,Research & Development,1,4,Medical,1,73,Male,1,Research Scientist,Single,2501,1,Y,17,80,0,1,4,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,74,Male,2,Research Scientist,Married,6220,1,Y,17,80,2,10,3,10,0,9
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,75,Female,1,Laboratory Technician,Married,3038,3,Y,12,80,0,5,3,1,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,76,Female,2,Manufacturing Director,Single,4424,1,Y,23,80,0,11,2,11,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,1,77,Male,2,Sales Executive,Single,4312,0,Y,14,80,0,16,2,15,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,1,78,Male,3,Research Director,Married,13245,4,Y,14,80,0,17,3,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,79,Male,3,Research Director,Single,13664,4,Y,13,80,0,16,3,5,0,2
46,No,Travel_Rarely,Human Resources,5,2,Medical,1,80,Male,2,Human Resources,Divorced,5021,8,Y,22,80,1,16,2,4,0,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,81,Male,2,Laboratory Technician,Married,5126,1,Y,12,80,2,10,1,10,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,1,82,Male,1,Research Scientist,Single,2859,1,Y,18,80,0,6,3,6,0,4
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,83,Male,3,Sales Executive,Married,10239,3,Y,14,80,1,24,4,1,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,1,84,Female,2,Research Scientist,Divorced,5329,7,Y,12,80,3,17,3,13,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,85,Male,2,Manufacturing Director,Married,4325,1,Y,15,80,0,5,2,5,1,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,86,Male,3,Manufacturing Director,Single,7260,4,Y,11,80,0,37,3,6,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,1,87,Male,1,Sales Representative,Divorced,2322,3,Y,13,80,1,3,3,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,88,Male,1,Laboratory Technician,Married,2075,3,Y,23,80,2,10,4,4,0,3
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,89,Male,2,Healthcare Representative,Married,4152,1,Y,19,80,3,11,3,11,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,1,90,Male,3,Sales Executive,Single,9619,1,Y,16,80,0,9,3,9,4,7
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,91,Male,4,Healthcare Representative,Married,13503,1,Y,22,80,1,22,3,22,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,1,92,Male,2,Sales Executive,Single,5441,0,Y,22,80,0,11,2,10,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,1,93,Female,2,Sales Executive,Divorced,5209,1,Y,12,80,3,11,4,11,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,1,94,Male,3,Healthcare Representative,Married,10673,2,Y,13,80,1,21,5,10,9,5
32,No,Travel_Rarely,Sales,6,4,Medical,1,95,Male,2,Sales Executive,Single,5010,1,Y,16,80,0,12,0,11,5,7
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,96,Female,3,Research Director,Married,13549,9,Y,12,80,1,16,5,4,0,3
24,No,Travel_Rarely,Sales,3,2,Other,1,97,Female,2,Sales Executive,Married,4999,0,Y,21,80,1,4,2,3,0,2
28,No,Non-Travel,Sales,4,3,Medical,1,98,Male,2,Sales Executive,Married,4221,1,Y,15,80,0,5,3,5,0,4
58,No,Travel_Rarely,Sales,10,4,Medical,1,99,Male,4,Sales Executive,Single,13872,0,Y,13,80,0,38,1,37,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,1,100,Male,2,Laboratory Technician,Married,2042,4,Y,12,80,1,17,3,3,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,1,101,Male,1,Human Resources,Divorced,2073,4,Y,22,80,0,7,3,3,0,2
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,102,Male,1,Research Scientist,Single,2956,1,Y,13,80,0,1,2,1,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,103,Female,1,Laboratory Technician,Single,2926,1,Y,18,80,0,1,5,1,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,1,104,Female,2,Research Scientist,Single,4809,1,Y,14,80,0,16,3,16,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,1,105,Male,2,Healthcare Representative,Divorced,5163,5,Y,14,80,1,17,2,1,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,1,106,Female,5,Manager,Married,18844,9,Y,21,80,1,30,3,3,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,107,Female,5,Research Director,Married,18172,3,Y,19,80,0,28,1,8,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,1,108,Male,2,Sales Executive,Single,5744,1,Y,11,80,0,6,1,6,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,1,109,Male,1,Research Scientist,Married,2889,1,Y,11,80,2,2,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,1,110,Female,1,Laboratory Technician,Single,2871,1,Y,15,80,0,1,5,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,111,Female,3,Healthcare Representative,Single,7484,3,Y,20,80,0,23,1,13,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,112,Male,2,Laboratory Technician,Single,6074,1,Y,24,80,0,9,3,9,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,1,113,Female,4,Manager,Single,17328,2,Y,12,80,0,23,3,5,4,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,1,114,Male,1,Laboratory Technician,Married,2774,0,Y,12,80,1,6,2,5,1,2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,115,Female,2,Research Scientist,Divorced,4505,6,Y,15,80,1,12,3,1,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,1,116,Male,3,Sales Executive,Single,7428,2,Y,12,80,0,12,3,5,1,3
34,No,Travel_Rarely,Research & Development,5,3,Medical,1,117,Female,3,Manager,Single,11631,2,Y,12,80,0,14,6,11,5,8
36,No,Travel_Frequently,Sales,11,2,Technical Degree,1,118,Female,3,Sales Executive,Married,9738,0,Y,14,80,1,10,6,9,2,8
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,119,Female,1,Laboratory Technician,Divorced,2835,5,Y,22,80,1,7,2,1,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,1,120,Male,4,Manager,Married,16959,1,Y,12,80,2,25,3,25,4,12
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,121,Male,1,Research Scientist,Divorced,2613,1,Y,25,80,3,10,2,10,0,9
33,No,Non-Travel,Sales,22,2,Marketing,1,122,Male,2,Sales Executive,Married,6146,0,Y,13,80,1,8,2,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,1,123,Female,1,Research Scientist,Married,4963,9,Y,18,80,3,7,2,5,4,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,124,Male,5,Research Director,Single,19537,7,Y,13,80,0,23,5,20,15,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,1,125,Male,2,Sales Executive,Married,6172,4,Y,18,80,0,12,3,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,1,126,Female,1,Research Scientist,Married,2368,1,Y,19,80,0,5,3,5,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,1,127,Female,3,Healthcare Representative,Married,10312,1,Y,12,80,1,40,3,40,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,1,128,Male,1,Sales Representative,Single,1675,1,Y,19,80,0,0,2,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,129,Male,1,Laboratory Technician,Married,2523,0,Y,14,80,1,3,2,2,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,1,130,Female,2,Manufacturing Director,Married,6567,1,Y,14,80,0,16,2,15,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,1,131,Female,1,Research Scientist,Single,4739,4,Y,12,80,0,18,2,3,1,2
50,No,Travel_Frequently,Sales,12,3,Marketing,1,132,Female,3,Sales Executive,Single,9208,4,Y,11,80,0,16,3,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,1,133,Female,2,Sales Executive,Married,4559,3,Y,11,80,1,4,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,1,134,Male,3,Sales Executive,Divorced,8189,3,Y,13,80,1,12,2,9,0,7
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,1,135,Female,1,Human Resources,Married,2942,1,Y,23,80,1,8,3,8,5,7
36,No,Travel_Rarely,Research & Development,6,2,Medical,1,136,Male,2,Manufacturing Director,Divorced,4941,6,Y,20,80,2,7,0,3,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,137,Male,3,Manufacturing Director,Single,10650,2,Y,15,80,0,18,2,4,0,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,1,138,Female,2,Sales Executive,Married,5902,4,Y,14,80,1,17,1,15,5,9
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,139,Male,2,Sales Executive,Married,8639,2,Y,18,80,0,6,3,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,1,140,Male,2,Human Resources,Married,6347,0,Y,19,80,0,12,2,11,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,141,Female,1,Laboratory Technician,Single,4200,7,Y,22,80,0,10,2,5,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,1,142,Male,1,Research Scientist,Single,3452,5,Y,13,80,0,9,2,6,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,1,143,Female,2,Research Scientist,Single,4317,3,Y,20,80,0,19,2,3,2,2
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,144,Female,1,Research Scientist,Single,2632,1,Y,14,80,0,5,4,5,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,1,145,Male,2,Sales Executive,Divorced,4668,0,Y,17,80,3,9,2,8,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,146,Female,1,Research Scientist,Divorced,3204,5,Y,14,80,1,8,3,3,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,1,147,Male,1,Laboratory Technician,Single,2720,0,Y,13,80,0,6,3,5,1,2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1,148,Male,4,Manager,Divorced,17181,4,Y,13,80,1,21,2,7,7,7
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,149,Male,1,Laboratory Technician,Married,2238,2,Y,21,80,1,7,2,5,1,4
19,No,Travel_Rarely,Research & Development,3,1,Medical,1,150,Female,1,Laboratory Technician,Single,1483,1,Y,14,80,0,1,3,1,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,1,151,Female,2,Research Scientist,Divorced,5605,1,Y,11,80,1,20,2,20,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,1,152,Male,3,Sales Executive,Married,7295,1,Y,13,80,2,10,3,10,0,6
53,No,Travel_Rarely,Sales,6,2,Marketing,1,153,Male,2,Sales Representative,Married,2306,2,Y,20,80,1,13,3,7,4,5
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,154,Male,2,Laboratory Technician,Divorced,2348,8,Y,18,80,1,20,2,17,0,15
32,No,Travel_Frequently,Sales,8,3,Marketing,1,155,Female,3,Sales Executive,Single,8998,1,Y,14,80,0,9,2,9,3,7
29,No,Non-Travel,Research & Development,1,1,Technical Degree,1,156,Male,2,Manufacturing Director,Married,4319,1,Y,13,80,1,10,1,10,0,9
51,No,Travel_Rarely,Research & Development,7,4,Medical,1,157,Male,2,Manufacturing Director,Married,6132,2,Y,17,80,0,10,2,1,0,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,1,158,Female,1,Research Scientist,Married,3346,4,Y,20,80,1,9,3,1,0,0
40,No,Travel_Rarely,Sales,4,4,Marketing,1,159,Male,3,Sales Executive,Married,10855,7,Y,11,80,1,15,2,12,2,11
34,No,Travel_Frequently,Sales,2,4,Marketing,1,160,Female,1,Sales Representative,Married,2231,6,Y,18,80,1,6,3,4,1,2
22,No,Travel_Rarely,Research & Development,19,1,Medical,1,161,Male,1,Research Scientist,Married,2323,1,Y,24,80,2,2,6,2,2,2
27,No,Non-Travel,Research & Development,9,3,Medical,1,162,Male,1,Research Scientist,Divorced,2024,6,Y,18,80,1,6,1,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,Medical,1,163,Male,1,Research Scientist,Married,2713,1,Y,11,80,1,5,2,5,0,2
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,1,164,Male,3,Healthcare Representative,Divorced,9439,3,Y,16,80,1,12,2,5,1,4
27,No,Non-Travel,Research & Development,3,3,Medical,1,165,Male,1,Research Scientist,Divorced,2566,1,Y,15,80,1,1,2,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1,166,Female,5,Manager,Single,19926,3,Y,15,80,0,21,5,5,4,4
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,167,Male,1,Research Scientist,Divorced,2451,4,Y,12,80,1,13,2,9,1,8
30,No,Travel_Rarely,Sales,5,3,Life Sciences,1,168,Female,3,Sales Executive,Married,9419,2,Y,12,80,1,12,2,10,7,4
38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,169,Female,2,Sales Executive,Single,8686,4,Y,22,80,0,12,2,8,0,7
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,1,170,Male,1,Research Scientist,Single,3038,3,Y,20,80,0,8,2,5,1,4
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,1,171,Male,1,Research Scientist,Married,3058,0,Y,16,80,1,6,3,5,1,1
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,172,Female,1,Sales Representative,Single,2325,0,Y,21,80,0,1,5,0,0,0
36,No,Travel_Frequently,Research & Development,3,2,Medical,1,173,Male,1,Laboratory Technician,Single,2088,4,Y,12,80,0,13,3,8,7,2
30,No,Non-Travel,Research & Development,9,3,Medical,1,174,Male,2,Laboratory Technician,Divorced,3072,1,Y,11,80,2,12,4,12,6,10
45,No,Travel_Rarely,Sales,4,2,Life Sciences,1,175,Female,2,Sales Executive,Divorced,5006,4,Y,11,80,1,9,3,5,0,3
56,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,176,Female,1,Research Scientist,Divorced,4257,4,Y,18,80,1,19,3,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,177,Male,1,Research Scientist,Single,2500,0,Y,14,80,0,4,2,3,0,2
19,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1,178,Male,1,Laboratory Technician,Single,1102,1,Y,22,80,0,1,3,1,1,0
46,No,Travel_Rarely,Sales,1,2,Marketing,1,179,Female,3,Sales Executive,Divorced,10453,1,Y,25,80,3,24,2,24,15,7
38,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,180,Female,1,Laboratory Technician,Single,2288,1,Y,12,80,0,2,3,2,2,1
31,No,Travel_Rarely,Research & Development,12,1,Medical,1,181,Female,1,Research Scientist,Married,3929,8,Y,23,80,1,7,0,4,0,2
34,No,Travel_Rarely,Research & Development,27,2,Medical,1,182,Female,1,Research Scientist,Single,2311,2,Y,15,80,0,9,3,3,1,2
41,Yes,Travel_Rarely,Sales,20,2,Marketing,1,183,Female,1,Sales Representative,Single,3140,1,Y,22,80,0,4,5,4,0,2
50,No,Travel_Rarely,Research & Development,1,3,Medical,1,184,Male,1,Laboratory Technician,Married,3690,2,Y,15,80,1,5,2,3,0,2
53,No,Travel_Rarely,Research & Development,13,2,Medical,1,185,Female,2,Manufacturing Director,Divorced,4450,1,Y,11,80,2,5,3,4,1,3
33,No,Travel_Rarely,Research & Development,14,3,Medical,1,186,Female,1,Research Scientist,Married,2756,1,Y,13,80,1,8,5,8,1,6
40,No,Travel_Rarely,Research & Development,4,1,Medical,1,187,Female,5,Manager,Married,19033,1,Y,14,80,1,21,2,20,9,9
55,No,Travel_Rarely,Research & Development,14,4,Medical,1,188,Male,5,Research Director,Single,18722,8,Y,11,80,0,36,3,24,2,15
34,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,189,Male,2,Manufacturing Director,Married,9547,1,Y,17,80,0,10,2,10,1,9
